Fiche Numéro;Créé le;Créé par;Identification;Statut;Marque;Vehicule;Immatriculation;Etat;Code Postal;Ville;Adresse;Contexte;Latitude;Longitude;Bailleur Sociale
56223;2024-06-24 00:00:00;TDA VHU chez Martinique Automobiles;N 972322024062456223;Brouillon;Citroën;C3;;Incomplet;97232;LE LAMENTIN;CITE PETIT MANOIR;Terrain privé société;;;SIMAR
56222;2024-06-24 00:00:00;TDA VHU chez Martinique Automobiles;N 972322024062456222;Brouillon;Renault;CLIO;;Complet;97232;LE LAMENTIN;CITE PETIT MANOIR;Terrain privé société;;;SIMAR
56220;2024-06-24 00:00:00;TDA VHU chez Martinique Automobiles;N 972322024062456220;Brouillon;Hyundai;PONY;;Incomplet;97232;LE LAMENTIN;RES MAMAIN;Terrain privé société;;;SIMAR
56219;2024-06-24 00:00:00;TDA VHU chez Martinique Automobiles;N 972322024062456219;Brouillon;Peugeot;206;BM473TX;Incomplet;97232;LE LAMENTIN;RES MAMAIN;Terrain privé société;;;SIMAR
56218;2024-06-24 00:00:00;TDA VHU chez Martinique Automobiles;N 972322024062456218;Brouillon;Peugeot;PARTNER;CE 499 YX;Incomplet;97232;LE LAMENTIN;RES MAMAIN;Terrain privé société;;;SIMAR
56217;2024-06-24 00:00:00;TDA VHU chez Martinique Automobiles;N 972322024062456217;Brouillon;Toyota;AURIS;EC344XF;Complet;97232;LE LAMENTIN;RES MAMAIN;Terrain privé société;;;SIMAR
56216;2024-06-24 00:00:00;TDA VHU chez Martinique Automobiles;N 972322024062456216;Brouillon;Volkswagen;GOLF;;Complet;97232;LE LAMENTIN;RES MAMAIN;Terrain privé société;;;SIMAR
56215;2024-06-24 00:00:00;TDA VHU chez Martinique Automobiles;N 972322024062456215;Brouillon;Citroën;XSARA;BV268YA;Complet;97232;LE LAMENTIN;RES MAMAIN;Terrain privé société;;;SIMAR
56214;2024-06-24 00:00:00;TDA VHU chez Martinique Automobiles;N 972322024062456214;Brouillon;Volkswagen;POLO;;Complet;97232;LE LAMENTIN;RES HIBISCUS;Terrain privé société;;;SIMAR
56213;2024-06-24 00:00:00;TDA VHU chez Martinique Automobiles;N 972322024062456213;Brouillon;Audi;A3;ES109MH;Complet;97232;LE LAMENTIN;RES HIBISCUS;Terrain privé société;;;SIMAR
56212;2024-06-24 00:00:00;TDA VHU chez Martinique Automobiles;N 972322024062456212;Brouillon;Citroën;C4;BF319HH;Complet;97232;LE LAMENTIN;RES HIBISCUS;Terrain privé société;;;SIMAR
56211;2024-06-24 00:00:00;TDA VHU chez Martinique Automobiles;N 972322024062456211;Brouillon;Renault;CLIO;CC114YD;Complet;97232;LE LAMENTIN;RES MAMAIN;Terrain privé société;;;SIMAR
56210;2024-06-24 00:00:00;TDA VHU chez Martinique Automobiles;N 972322024062456210;Brouillon;Renault;CLIO;BM230AN;Complet;97232;LE LAMENTIN;RES HIBISCUS;Terrain privé société;;;SIMAR
56209;2024-06-24 00:00:00;TDA VHU chez Martinique Automobiles;N 972322024062456209;Brouillon;Toyota;YARIS;CK462TY;Complet;97232;LE LAMENTIN;RES HIBISCUS;Terrain privé société;;;SIMAR
56208;2024-06-24 00:00:00;TDA VHU chez Martinique Automobiles;N 972322024062456208;Brouillon;Renault;CLIO;CC940MN;Complet;97232;LE LAMENTIN;RES HIBISCUS;Terrain privé société;;;SIMAR
56207;2024-06-24 00:00:00;TDA VHU chez Martinique Automobiles;N 972322024062456207;Brouillon;Citroën;JUMPY;62AWB972;Complet;97232;LE LAMENTIN;RES HIBISCUS;Terrain privé société;;;SIMAR
56206;2024-06-24 00:00:00;TDA VHU chez Martinique Automobiles;N 972322024062456206;Brouillon;Toyota;RAV4;;Incomplet;97232;LE LAMENTIN;RES HIBISCUS;Terrain privé société;;;SIMAR
56205;2024-06-24 00:00:00;TDA VHU chez Martinique Automobiles;N 972322024062456205;Brouillon;Renault;CLIO;;Incomplet;97232;LE LAMENTIN;RES HIBISCUS;Terrain privé société;;;SIMAR
56204;2024-06-24 00:00:00;TDA VHU chez Martinique Automobiles;N 972322024062456204;Brouillon;Ssangyong;KORANDO;;Incomplet;97232;LE LAMENTIN;RES HIBISCUS;Terrain privé société;;;SIMAR
56203;2024-06-24 00:00:00;TDA VHU chez Martinique Automobiles;N 972322024062456203;Brouillon;Renault;MASTER;BE428FW;Incomplet;97232;LE LAMENTIN;RES HIBISCUS;Terrain privé société;;;SIMAR
56202;2024-06-24 00:00:00;TDA VHU chez Martinique Automobiles;N 972322024062456202;Brouillon;Volkswagen;POLO;906BBP972;Complet;97232;LE LAMENTIN;RES HIBISCUS;Terrain privé société;;;SIMAR
56201;2024-06-24 00:00:00;TDA VHU chez Martinique Automobiles;N 972322024062456201;Brouillon;Renault;CLIO;BQ347GS;Incomplet;97232;LE LAMENTIN;RES HIBISCUS;Terrain privé société;;;SIMAR
56200;2024-06-24 00:00:00;TDA VHU chez Martinique Automobiles;N 972322024062456200;VHU;Opel;ZAFIRA;BF050BF;Complet;97232;LE LAMENTIN;RES HIBISCUS;Terrain privé société;14,62854;-61,00829;SIMAR
56152;2024-06-21 00:00:00;TDA VHU chez Martinique Automobiles;N 972322024062156152;Brouillon;Dacia;SANDERO;DL370PF;Complet;97232;LE LAMENTIN;RES TERRASSES;Terrain privé société;;;SIMAR
56151;2024-06-21 00:00:00;TDA VHU chez Martinique Automobiles;N 972322024062156151;Brouillon;Ford;FIESTA;FP189SF;Complet;97232;LE LAMENTIN;RES TERRASSES;Terrain privé société;;;SIMAR
56150;2024-06-21 00:00:00;TDA VHU chez Martinique Automobiles;N 972322024062156150;Brouillon;Renault;KANGOO;DX206PD;Complet;97232;LE LAMENTIN;RES TERRASSES;Terrain privé société;;;SIMAR
56149;2024-06-21 00:00:00;TDA VHU chez Martinique Automobiles;N 972322024062156149;Brouillon;Citroën;C5;AJ106HE;Complet;97232;LE LAMENTIN;RES TERRASSES;Terrain privé société;;;SIMAR
