Residences;Latitude;Longitude;Bailleur Sociale;Nombre de VHU
RES CONCOR;14.5419754972681;-60.84447610192;SIMAR;80
RES SIGY;14.5424832729623;-60.8459565136582;OZANAM;1
Coul?e Verte;14.542402;-60.846891;OZANAM;0
Moulin Village;14.542692;-60.848399;OZANAM;0
Pos?idon;14.473561;-60.861102;SMHLM;0
RES RACINE;14.4711036141962;-60.8626022189856;SMHLM;9
RES AGNES;14.4729983434081;-60.8646557852626;SMHLM;8
RES MICHE;14.4746967265382;-60.8655255753547;SMHLM;2
RES L'HERBIER;14.4438934000209;-60.8658323530108;SMHLM;21
RES OLIVIERS;14.4449642719701;-60.8663293998688;SIMAR;3
RES L HERBIER;14.4440342998132;-60.8663630113006;SMHLM;3
Cit? Diaka;14.473661;-60.869914;SIMAR;0
Anatole France;14.4712;-60.870217;SMHLM;0
RES ARAWAKS;14.4734662631527;-60.8702907711268;SIMAR;7
ï¿½mile Zola;14.470177;-60.870784;SMHLM;0
Kalinago;14.472006;-60.871031;SMHLM;0
RES MONTGERALD;14.4733992498368;-60.8749118819833;SMHLM;3
RES GARIFUNA;14.474369790405;-60.8780865278095;SIMAR;14
RES GAUGUIN;14.474369790405;-60.8780865278095;OZANAM;2
RES GAIAC;14.4748543482274;-60.8781288564205;SIMAR;13
Cit? Pointe du Marin;14.445836;-60.88003;SIMAR;0
RES ANSE TONNOIR;14.4321292731911;-60.883135702461;SMHLM;3
RES LUMINA;14.5239633321762;-60.8832660410553;SIMAR;5
RES MARBRIERE;14.4297644868493;-60.8844666648656;SMHLM;12
RES EPICES;14.4624788453802;-60.8888026233762;SMHLM;5
Sommet de la Baie;14.617899;-60.89;SMHLM;0
Batoul;14.617899;-60.89;SMHLM;0
CITE JETEE;14.6171081531793;-60.8992160484195;ozanam;5
Les Coulisses;14.557835;-60.900451;SIMAR;0
RES MO;14.6215247036889;-60.9012994542718;SIMAR;29
Delgr?s;14.614274;-60.901898;SMHLM;0
Hom?re Cl?ment;14.614274;-60.901898;SMHLM;0
S?raphin Calonne;14.614543;-60.902295;SMHLM;0
RES FUR EAU;14.6233533835039;-60.9028377849609;SIMAR;7
Arago;14.614542;-60.903988;SMHLM;0
RES MANIKOU;14.4820652576163;-60.90491800569;SIMAR;28
RES PALETUVIERS;14.6495320368558;-60.9050221927464;SIMAR;3
Cotonnerie;14.613533;-60.906191;SMHLM;0
Planet;14.613533;-60.906191;SIMAR;0
La Canop?e;14.571779;-60.908389;SMHLM;0
RES TRIANON;14.6214087400585;-60.9091885853559;SMHLM;15
CACAOYERS;14.7586842812598;-60.916451504454;SIMAR;4
CLOS CARAVEL;14.7586842812598;-60.916451504454;SMHLM;1
FLOTIL;14.7586842812598;-60.916451504454;SMHLM;10
AJOUPA;14.6584136271849;-60.9172186162323;SMHLM;2
ATNTIS;14.6584136271849;-60.9172186162323;OZANAM;3
POINTE ROYA;14.6584136271849;-60.9172186162323;SMHLM;5
PETERS MAILTS;14.5574986981228;-60.9174190275371;SMHLM;1
Chaudi?re;14.565905;-60.923971;SMHLM;0
Pavillon;14.467447;-60.925623;SMHLM;0
RES OLYMPIAS;14.4711253652349;-60.928275436163;SIMAR;2
RES OISEAUX S I;14.4695121841505;-60.9292577952146;SMHLM;2
BWA DRESSE;14.6795516973361;-60.9299753699452;SIMAR;1
RES KANNIK;14.570784936659;-60.9317198954523;SMHLM;3
RES TI JACQUES;14.570784936659;-60.9317198954523;SIMAR;2
RES SOLITU;14.5708691328764;-60.9317571111023;SMHLM;1
ZAGAYAS;14.6862612012774;-60.9330929350108;OZANAM;1
POINTE LYNCH;14.6886164741591;-60.934256343171;OZANAM;22
ITS;14.6875128289685;-60.9343261644244;SIMAR;13
RES MATOUBA;14.5411317748949;-60.9364669024944;SIMAR;13
MOULIN A VENT;14.6875929599628;-60.9367095585912;SMHLM;19
Cassien-Sainte-Claire;14.562852;-60.937049;SMHLM;0
Gueydon;14.561081;-60.938401;SMHLM;0
RES CARREAU;14.5592838758603;-60.9440229367465;SMHLM;1
CITE CARREAU;14.5592869352549;-60.9445170499384;SMHLM;2
VAL BEAUSEJOUR;14.741958;-60.944923;SIMAR;15
RES VAL BEAUSEJOUR;14.7421365184709;-60.9453026019037;SIMAR;16
TOMBOLO;14.7448163386434;-60.9459979645908;SIMAR;10
ANANAS;14.6810531476513;-60.946445222944;SMHLM;19
CITE BEAUSEJOUR;14.7424707049504;-60.9465220011771;SIMAR;6
Silex;14.491306;-60.949239;SMHLM;0
Lazulite;14.491306;-60.949239;SMHLM;0
Rocailles 1;43.107514;-60.949239;SMHLM;0
Rocailles 2;14.491306;-60.949239;SMHLM;0
Sodalite;14.491306;-60.949239;SMHLM;0
RES DIGUES;14.5554518373683;-60.952291181311;SIMAR;1
RES CANNAIE;14.5611245837063;-60.9525362681598;SIMAR;9
SIMAR CHAT TROU;14.5759239653125;-60.9564343560487;SIMAR;1
RES SOCORA;14.6311579830945;-60.9567753318697;SIMAR;1
RES SOROCA;14.6308240480721;-60.9571546129882;SIMAR;2
RES BOBY;14.5698518212885;-60.9616940002888;SIMAR;3
RES CECILION;14.572736704722;-60.9618869516998;SIMAR;2
RES GABARRE;14.5487919542938;-60.9632101189345;SIMAR;3
Les gens heureux;14.569256;-60.964514;SMHLM;0
Butia;14.550528;-60.964676;OZANAM;0
Petit Bourg;46.154089;-60.964676;OZANAM;0
RES GENIPA;14.5499441307038;-60.9650531318039;OZANAM;2
Bauhinia;14.57677;-60.965556;SIMAR;0
RES MORNE COSTET;14.5463649742305;-60.9664390794933;OZANAM;4
SMHLM CRIQUE;14.74877;-60.967664;SMHLM;1
CRIQUE;14.7491380060092;-60.9678562916815;OZANAM;17
La Havane;14.633698;-60.967957;SMHLM;0
COSMY;14.7539039561525;-60.9683892130852;SMHLM;18
CITE MARIE;14.5757267391309;-60.9684224054217;OZANAM;45
LOUPS;14.7542594745755;-60.9686538297683;SMHLM;7
MAFWAME;14.7542594745755;-60.9686538297683;SIMAR;7
L'orangeraie;14.581285;-60.969943;SMHLM;0
RES ABRICOTS;14.5738459238783;-60.9714372083545;SIMAR;2
Canne d'eau;14.556043;-60.972954;SMHLM;0
RES UGIER;14.5252255629748;-60.9749928954989;ozanam;12
RES THORAIL;14.5251676859334;-60.9750505629927;OZANAM;58
RES BAZEIL;14.5280242804438;-60.9777362085879;SMHLM;1
Le Plumier;46.198738;-60.979254;SIMAR;0
Koubaril;46.154089;-60.979254;SMHLM;0
Saint-Prix;14.528158;-60.979254;SMHLM;0
RES SANTA CRA;14.6606278745458;-60.9807034861296;SMHLM;2
RES CANNE A SUCRE;14.4977851817384;-60.9808463137597;SMHLM;7
RES PIES KANN;14.4974706927314;-60.9811687655747;SMHLM;2
RES GRANITE;14.4970712531358;-60.9814483858645;SMHLM;2
RES CARRE AS;14.6579748764634;-60.9819233044982;SMHLM;6
RES CARRE D AS;14.6579748764634;-60.9819233044982;SMHLM;1
Bayamo;14.660902;-60.982282;SMHLM;0
RES EOLIA;14.6639220882207;-60.9834576956928;SIMAR;4
RES FAYETTE;14.5321812853217;-60.984179712832;SMHLM;2
RES MANZEL;14.6705767;-60.9846155;SMHLM;6
CITE PCE D ARMES BAT PAIL MARRE;14.6133031;-60.9852178;SMHLM;2
La Pointe;14.473477;-60.985434;OZANAM;0
RES PCE;14.62507548742;-60.9855075739324;SMHLM;1
RES PCE ARMES;14.62507548742;-60.9855075739324;SMHLM;26
RES PCE D ARMES;14.62507548742;-60.9855075739324;SMHLM;1
Rose des Vents;14.617286;-60.986203;SIMAR;0
Amarante;14.615963;-60.986591;SIMAR;0
ANCIENNE TANNERIE;14.7736049070954;-60.988334203139;SMHLM;1
RES CARRE AS PELTIER;14.6276432;-60.9889238;SMHLM;3
RES CARRE D AS PELTIER BAT PIQUE;14.6276432;-60.9889238;SMHLM;1
RES ROSERAIE PISANCE;14.6276432;-60.9889238;SIMAR;1
ROSERAIE PISANCE;14.6276432;-60.9889238;SIMAR;2
RES ROSERAIE;14.6721889916807;-60.988947506994;SIMAR;7
CITE ETOI;14.777652611956;-60.9905906114727;SIMAR;2
Santiago;14.636808;-60.991071;SMHLM;0
Madras;14.636808;-60.991071;SMHLM;0
Les Jardins d?Hortensia;14.62513;-60.9921;OZANAM;0
KAN KREOL;14.7756806015968;-60.9940472245216;OZANAM;14
BITASYON REINTY;14.5972224;-60.9943987;SMHLM;1
Carri?re Dor?e;14.626303;-60.994763;SMHLM;0
RES PARAL;14.6125989407301;-60.9967753663659;SMHLM;1
RES PARALLE;14.6125989407301;-60.9967753663659;SMHLM;1
RES BONNE TERRE;14.4839850068092;-60.9970619436353;SIMAR;1
Martin Luther King;14.617358;-60.997551;SMHLM;0
CITE FRAICHEUR;14.7103737154976;-60.9982119407505;OZANAM;2
RES GROUPE PARAL PETIT MANOIR;14.609247;-60.998301;SMHLM;1
RES ALTA VISTA;14.6103144111112;-60.9985376615077;SMHLM;4
ABRICOTIERS;14.7106620948762;-60.9985480550677;OZANAM;6
LOTISSEMENT FRAICHEUR II;14.7106620948762;-60.9985480550677;OZANAM;9
RES BEL CREO;14.610213409178;-60.9985715243965;SMHLM;3
RES NATTE PETITE CROIX;14.6181805757806;-61.0002593044192;SMHLM;2
Floraindre;14.618559;-61.000379;SMHLM;0
RES NANTES CARREAUX;14.6179603412747;-61.001149546355;SMHLM;1
RES DOMINO;14.6174225164577;-61.0015930328518;SMHLM;1
RES SCHOELCHER;14.61571;-61.002384;SMHLM;1
Victor Schoelcher;14.614436;-61.002764;SMHLM;0
